UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Tom A,@1buckeyetom,2022-01-03T23:59:28.000Z,"Tom A
@1buckeyetom
·
4 Jan 2022","Easy, Coca Cola.
Casper
@m1kecasper
·
4 Jan 2022
Easy! Sunkist t.co/OEo8go6jog
1",⭕ 🏆 ⭕,,,1,['https://pbs.twimg.com/profile_images/1282027241468198912/xTHmrTN9_mini.jpg'],https://twitter.com/1buckeyetom/status/1478154071911636996
ComicBook NOW!,@ComicBookNOW,2022-01-03T23:58:45.000Z,"ComicBook NOW!
@ComicBookNOW
·
4 Jan 2022","JUJUTSU KAISEN Debuts Official COCA-COLA Commercial: Watch: 

https://comicbook.com/anime/news/jujutsu-kaisen-coca-cola-commercial-watch-anime/…
1
4",,,1,4,"['https://pbs.twimg.com/profile_images/1577295799536549889/onoP4nIO_bigger.png', 'https://pbs.twimg.com/media/FIN1H5AXMAwjdn6?format=jpg&name=small']",https://twitter.com/ComicBookNOW/status/1478153891153911808
Dæmian,@Daemian__,2022-01-03T23:58:28.000Z,"Dæmian
@Daemian__
·
4 Jan 2022","Replying to 
@Draydensbeard
Them sharing a Coca Cola
1
1",,1,,1,[],https://twitter.com/Daemian__/status/1478153819632586754
wvuinporto,@wvuinporto,2022-01-03T23:58:14.000Z,"wvuinporto
@wvuinporto
·
4 Jan 2022",Santiago went to the cathedral and ate pastel de nata and drank Coca Cola.,,,,,[],https://twitter.com/wvuinporto/status/1478153763038715905
¤ Ideas Injector ¤,@IdeasInjector,2022-01-03T23:57:56.000Z,"¤ Ideas Injector ¤
@IdeasInjector
·
4 Jan 2022","Replying to 
@mikealfred
Their mind look for a brand. Most of them are men from the 20th century. They don't actually care weither it's called bitcoin or cocacola. They follow a trend and fomo. It could be a bad idea to look back at them to seek advice on crypto, defi, Web 3.0, etc.
1",,1,,,[],https://twitter.com/IdeasInjector/status/1478153685519720448
FINDING A?,@AuraJr__,2022-01-03T23:57:35.000Z,"FINDING A?
@AuraJr__
·
4 Jan 2022",People actually be buying coke (coca cola) by choice,💫,,,,[],https://twitter.com/AuraJr__/status/1478153600446648321
Cary Everitt,@cary_lenise,2022-01-03T23:57:16.000Z,"Cary Everitt
@cary_lenise
·
4 Jan 2022","Ok 
@sonicdrivein
 get your crap together and some #spritezero at your locations - I need my diet cherry limeade               cc: 
@CocaCola",🎉 🎉 ♏,,,,[],https://twitter.com/cary_lenise/status/1478153519521845249
L,@llawlietdotcom,2022-01-03T23:56:15.000Z,"L
@llawlietdotcom
·
4 Jan 2022","Replying to 
@_phemsee
i am great im drinkin coca cola how are you 
1
1",😁,1,,1,[],https://twitter.com/llawlietdotcom/status/1478153264466067456
Kevmeistah,@kevmeistah,2022-01-03T23:54:31.000Z,"Kevmeistah
@kevmeistah
·
4 Jan 2022","Replying to 
@CocaCola
How about the sodas of Christmas past like Pibb Xtra or even Mr. Pibb? Please start making either one again in Indianapolis area or I’ll have to go with dependable Dr. Pepper from now on.
1
1",,1,,1,[],https://twitter.com/kevmeistah/status/1478152828732514310
Gerardo Valenzuela,@geravalenzuela_,2022-01-03T23:51:43.000Z,"Gerardo Valenzuela
@geravalenzuela_
·
4 Jan 2022","Bad habit of mine, I LOVE Coca Cola 
1
2",🥴,,1,2,[],https://twitter.com/geravalenzuela_/status/1478152124391256065
