UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
EA XuX,@EAcortez,2022-01-30T23:58:56.000Z,"EA XuX
@EAcortez
·
31 Jan 2022","Replying to 
@ochocinco
You gave them the the McDonald's tip I assume.",,,,,[],https://twitter.com/EAcortez/status/1487938410471845888
Rockky Dave,@dave_rockky69,2022-01-30T23:58:36.000Z,"Rockky Dave
@dave_rockky69
·
31 Jan 2022","Replying to 
@PAPAEMERlTUSlV
 and 
@Body_And_Blood
If that's the case than I am going to beat your ass at the McDonald's parking place!!!!!
1",,1,,,[],https://twitter.com/dave_rockky69/status/1487938325667143682
Moe_Effer,@MoeEffer,2022-01-30T23:58:10.000Z,"Moe_Effer
@MoeEffer
·
31 Jan 2022","Replying to 
@dangerdaveball
 and 
@McDonalds
McPussy",,,,,[],https://twitter.com/MoeEffer/status/1487938219442380806
emily,@iheartkithugs,2022-01-30T23:58:01.000Z,"emily
@iheartkithugs
·
31 Jan 2022","mcdonald’s fries & sweet n sour sauce. yum.
Pizzylee
@oyinloye_s
·
23 Jan 2022
24. A food combination you think everyone should try?
Show this thread
1",,,,1,['https://pbs.twimg.com/profile_images/1563469169269493760/OG5kmex7_mini.jpg'],https://twitter.com/iheartkithugs/status/1487938181534257152
Aqueeb Talib,@Snowmaggedon1,2022-01-30T23:57:52.000Z,"Aqueeb Talib
@Snowmaggedon1
·
31 Jan 2022","Something ppl don’t talk about enough are cookie totes from McDonald’s. For like $6 you get 13 hot melty cookies in a big ass box my high school friends and I would pass around a big chief wood tip pen followed by a bakers dozen of mccookies too many times to be proud of
2
9",,2,,9,[],https://twitter.com/Snowmaggedon1/status/1487938141629685765
Mr. Shakey,@DireWolf571,2022-01-30T23:57:30.000Z,"Mr. Shakey
@DireWolf571
·
31 Jan 2022","Replying to 
@misty_gamblin
Maybe blame McDonald's for creating the fat-find industry.
1
1",,1,,1,[],https://twitter.com/DireWolf571/status/1487938049287901193
taeyong’s liberty spikes (ᐡ⁎◕ ̫ ◕ ᐡ),@TurdleButt,2022-01-30T23:57:18.000Z,"taeyong’s liberty spikes (ᐡ⁎◕ ̫ ◕ ᐡ)
@TurdleButt
·
31 Jan 2022",McDonald’s has a “basket” of fries?,,,,,[],https://twitter.com/TurdleButt/status/1487938000562671622
RADIO CHILD,@WSPDOGE,2022-01-30T23:56:54.000Z,"RADIO CHILD
@WSPDOGE
·
31 Jan 2022","Replying to 
@usssks
 @elonmusk
  and 23 others
Yo. Football n basketball
1",,,,1,[],https://twitter.com/WSPDOGE/status/1487937898334851073
null,@nomor3pai,2022-01-30T23:56:41.000Z,"null
@nomor3pai
·
31 Jan 2022","McDonald's Fans Shocked to Discover How Their Onions Are Made - 'How Did I Not Know This?' https://a.msn.com/00/en-us/AATiHBD?ocid=winp-st… 
Who cares if they're dehydrated, I love these!
newsweek.com
McDonald's Fans Shocked to Discover How Their Onions Are Made
""Of all the fast food exposé videos this one crossed the line for me,"" one viewer wrote.",,,,,[],https://twitter.com/nomor3pai/status/1487937844559720448
jody,@wnbagirlfriend,2022-01-30T23:56:24.000Z,"jody
@wnbagirlfriend
·
31 Jan 2022","wailing on the mcdonald's floor, i'm tired of them acting like monster style hash browns aren't real
14",,,,14,[],https://twitter.com/wnbagirlfriend/status/1487937773046845442
