UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Willybot,@wilbot28,2023-01-03T23:59:47.000Z,"Willybot
@wilbot28
·
4 Jan","Replying to 
@ButterStickx
When all your liquidity is in nft's.
1
5
101",,,1,5,[],https://twitter.com/wilbot28/status/1610425725911437315
,,2023-01-03T23:59:47.000Z,,,,,,,[],https://twitter.com/parmado/status/1610425724451819522
,,2023-01-03T23:59:45.000Z,,,,,,,['https://pbs.twimg.com/media/Fllhp4XXwAEs07U?format=jpg&name=small'],https://twitter.com/gloopertism/status/1610425716763394048
,,2023-01-03T23:59:43.000Z,,,🧢 🧢,,,,[],https://twitter.com/SmartEra360/status/1610425708378980352
,,2023-01-03T23:59:39.000Z,,,,,,,['https://pbs.twimg.com/card_img/1617684798675337216/xN2XaDc6?format=png&name=small'],https://twitter.com/sTen/status/1610425692356841472
,,2023-01-03T23:59:38.000Z,,,🚨 🚨 🚨 🚨 🚨 🚨,,,,['https://pbs.twimg.com/card_img/1616517483435028482/t9bLmJ7d?format=jpg&name=small'],https://twitter.com/_Crypto_Alerts/status/1610425685595623428
Paca,@PacaNFT,2023-01-03T23:59:37.000Z,"Paca
@PacaNFT
·
4 Jan","Replying to 
@psych_nft
I can't detach from myself 
3
48",,,,3,[],https://twitter.com/PacaNFT/status/1610425682735022081
Robert Duck “Evel” Knievel Jr. / essyou.eth,@ready87bear,2023-01-03T23:59:37.000Z,"Robert Duck “Evel” Knievel Jr. / essyou.eth
@ready87bear
·
4 Jan","Replying to 
@alexoakim
 @The_GaryBro
  and 11 others
Going to the moon
2
18",,,,2,['https://pbs.twimg.com/media/FllhntsWQAMHkQz?format=jpg&name=small'],https://twitter.com/ready87bear/status/1610425682730827780
𝕎i𝕃L '𝕄a𝕃L(Ξy,@HelpNy4,2023-01-03T23:59:35.000Z,"𝕎i𝕃L '𝕄a𝕃L(Ξy
@HelpNy4
·
4 Jan","Replying to 
@ScottBatemanArt
 and 
@CollinaCleo_nft
My friend
This is the only thing I could think to say.

From my favorite movie of all time!
Stan Bush: You've got the Touch
youtube.com
The Touch
Provided to YouTube by VolcanoThe Touch · Stan BushTransformers℗ 1986 Volcano Entertainment, III, L.L.C.Released on: 1999-01-01Composer, Lyricist: Lenny Maca...
1
1
14",⭕ ©,1,,1,['https://pbs.twimg.com/card_img/1619712000505831424/RkKIhwlo?format=jpg&name=240x240'],https://twitter.com/HelpNy4/status/1610425675034378242
DeGods Sales Bot,@DeGodsSalesBot,2023-01-03T23:59:34.000Z,"DeGods Sales Bot
@DeGodsSalesBot
·
4 Jan
Automated","DeGod #9431 (Rank #5477) 
Just sold for 550 S◎L | 6.05 ETH | $7348.00 

#DeGods #SolanaNFTs #Solana #NFT 
https://magiceden.io/item-details/E4smZpmjc5cAaLMEoKT9LBDR9enohnJjP6hfXZZ7udyv…",,,,,['https://pbs.twimg.com/media/FllhnF-XEAMBjXP?format=jpg&name=small'],https://twitter.com/DeGodsSalesBot/status/1610425671095910401
,,2023-01-03T23:59:34.000Z,,,,,,,[],https://twitter.com/albeit70428035/status/1610425669657427970
,,2023-01-03T23:59:33.000Z,,,🍩 🍩 🍩 🍩,,,,['https://pbs.twimg.com/card_img/1617875082814136320/-cWYTZzh?format=jpg&name=small'],https://twitter.com/nft_poster/status/1610425663864946693
,,2023-01-03T23:59:27.000Z,,,🐻,,,,[],https://twitter.com/blazedifyah/status/1610425638455808000
,,2023-01-03T23:59:24.000Z,,,🚀 🚀 🔥,,,,"['https://pbs.twimg.com/profile_images/1573337427338354688/3XthAwPn_mini.png', 'https://pbs.twimg.com/media/FlkCK2FX0AQW-pl?format=jpg&name=small']",https://twitter.com/IDiacan/status/1610425627487895558
,,2023-01-03T23:59:37.000Z,,,,,,,[],https://twitter.com/PacaNFT/status/1610425682735022081
,,2023-01-03T23:59:35.000Z,,,⭕ ©,,,,['https://pbs.twimg.com/card_img/1619712000505831424/RkKIhwlo?format=jpg&name=240x240'],https://twitter.com/HelpNy4/status/1610425675034378242
