UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Olivia,@_olyyy,2022-01-03T23:59:58.000Z,"Olivia
@_olyyy
·
4 Jan 2022","Replying to 
@christyGG10
Especially fountain Pepsi’s ooof ",🌻 😋,,,,[],https://twitter.com/_olyyy/status/1478154200991207424
Leksi Beth,@NerdyHazelEyes,2022-01-03T23:59:51.000Z,"Leksi Beth
@NerdyHazelEyes
·
4 Jan 2022","I guess I can’t leave my own drink on the break room table anymore. So if anyone is wondering why I’m carrying a can of pop on the sales floor, it’s cause I walked in on my warehouse guy drinking it. Pepsi and gingerale aren’t the same ",🥺,,,,[],https://twitter.com/NerdyHazelEyes/status/1478154168393207810
NewSongsBot,@NewSongBot,2022-01-03T23:59:04.000Z,"NewSongsBot
@NewSongBot
·
4 Jan 2022","bisexual pepsi by hailee steinfeld
1",,,,1,[],https://twitter.com/NewSongBot/status/1478153970619064324
jojo,@MoiYeRious,2022-01-03T23:58:02.000Z,"jojo
@MoiYeRious
·
4 Jan 2022","Ok I am hungry but I can't stop telling myself, over 230lbs dude. I have an unopened 2ltr bottle of Pepsi. That is all the dinner I am allowed for now.

Seriously, physical therapy and running on a treadmill! That's what I need. Insurance only pays three months beginner gym fees.",,,,,[],https://twitter.com/MoiYeRious/status/1478153713869074434
ガブリエルデアンヘレス,@gabriel_gabdiel,2022-01-03T23:58:01.000Z,"ガブリエルデアンヘレス
@gabriel_gabdiel
·
4 Jan 2022","Replying to 
@daveusesthis
As tone-deaf as that Pepsi ad featuring Kendall Jenner.
youtube.com
Full Pepsi Commercial Starring Kendal Jenner
PLEAASEEEE SUBSCRIBE!As I'm unable to monitize my channel because of this video, it would be helpful if you guys can subscribe :) because i really don't want...",,,,,['https://pbs.twimg.com/card_img/1619529887974293504/mjIG2ltI?format=jpg&name=240x240'],https://twitter.com/gabriel_gabdiel/status/1478153708399587330
salinedijon,@jettachris22,2022-01-03T23:56:26.000Z,"salinedijon
@jettachris22
·
4 Jan 2022","Replying to 
@Spilling_The_T
Is this person very young or something? Pepsi blue was very popular. Also, I only see them saying that the blue coloring is better than red, not that the other products existed. I suppose the context is missing here.
1",,1,,,[],https://twitter.com/jettachris22/status/1478153308258947074
StellarSpin,@Meat__Squid,2022-01-03T23:56:14.000Z,"StellarSpin
@Meat__Squid
·
4 Jan 2022","Replying to 
@knux_pepsi
I don't think he's mad, just about to deliver serious news. He probably feels disappointed in himself for not being able to save her too
1
11",,1,,11,[],https://twitter.com/Meat__Squid/status/1478153258602434560
BigFineBae,@CocksLaPhaedra,2022-01-03T23:56:06.000Z,"BigFineBae
@CocksLaPhaedra
·
4 Jan 2022","Very much okay with a cold Mountain Dew or Pepsi
𝐑★𝐉
@LilRJUnlimited
·
2 Jan 2022
Uhm excuse me? What the hell? I need answers, who thinks this is okay? ",💋 🗽 💀 🪬 ⭕ 😭,,,,"['https://pbs.twimg.com/profile_images/1612358280776454144/_itxid3p_mini.jpg', 'https://pbs.twimg.com/media/FIGxdYoXwAM7nKW?format=jpg&name=small']",https://twitter.com/CocksLaPhaedra/status/1478153225807216644
LovenRazu,@LovenRazu_,2022-01-03T23:55:32.000Z,"LovenRazu
@LovenRazu_
·
4 Jan 2022","I voted for #︎coke, and you?! This is the final battle! PEPSI VS COKE! which one do you think is the winner of THE COLA WARS?! 
Tweet #pepsi
Tweet #coke",🍹,,,,['https://pbs.twimg.com/ad_img/1340348978932699137/B435vVXa?format=jpg&name=small'],https://twitter.com/LovenRazu_/status/1478153082915676165
Greg M,@67gta390,2022-01-03T23:54:22.000Z,"Greg M
@67gta390
·
4 Jan 2022","Replying to 
@rstant16
I like to build big rigs. Trying to finish the Pepsi Ford delivery. Had to take a break due to life. Time to finish and start another.
1
1",,1,,1,[],https://twitter.com/67gta390/status/1478152791696842759
