UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
L Deezey INSERT CAUSE HERE,@ldeezey,2022-10-13T23:59:43.000Z,"L Deezey INSERT CAUSE HERE
@ldeezey
·
14 Oct 2022","Replying to 
@YahooFinance
 and 
@srsalathe
Holy schlit Yahoo",🎨,,,,[],https://twitter.com/ldeezey/status/1580709902359855104
Jay,@jakeodo3,2022-10-13T23:59:15.000Z,"Jay
@jakeodo3
·
14 Oct 2022","Replying to 
@malpatta1
 and 
@leadlagreport
yeah it was literally the 5th biggest range day from high to low ever on $SPY in terms of $ amount by my calculations (measure stick from trading view for todays price action, historical data from yahoo finance). Interesting that the other big days were post covid with laxedrates
1
1",,1,,1,"['https://pbs.twimg.com/media/Fe_OpPiUUAERCJP?format=png&name=small', 'https://pbs.twimg.com/media/Fe_O05NUoAEnkWH?format=png&name=small']",https://twitter.com/jakeodo3/status/1580709785074249731
Larry Joens with 2 rrs,@joens_larry,2022-10-13T23:59:07.000Z,"Larry Joens with 2 rrs
@joens_larry
·
14 Oct 2022","The US is the world’s largest oil producer — so why do we still rely on countries like Saudi Arabia to supply us with crude? https://finance.yahoo.com/news/us-world-biggest-oil-producer-190500139.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr… via 
@Yahoo
finance.yahoo.com
No other nation in the world produces more oil than the US — so why do we count on countries like...
So much for being energy independent.
1",,,,1,['https://pbs.twimg.com/card_img/1619458655258017793/J4tkxS7w?format=jpg&name=small'],https://twitter.com/joens_larry/status/1580709750769037313
my ex-wife,@exwifenews,2022-10-13T23:59:00.000Z,"my ex-wife
@exwifenews
·
14 Oct 2022",My Ex-Wife Debt Crisis Sparked by Evergrande Snares State-Aided CIFI - Yahoo Finance,,,,,['https://pbs.twimg.com/media/Fe_PHbVUAAAqQEL?format=jpg&name=small'],https://twitter.com/exwifenews/status/1580709722872684545
hannah,@ToastMcGoats33,2022-10-13T23:58:59.000Z,"hannah
@ToastMcGoats33
·
14 Oct 2022","Replying to 
@Ganahim
listen Gana i didn't win her over through my yahoo! eeyuh. woo! skills because i don't have those
1
2",🌻 🦀,1,,2,[],https://twitter.com/ToastMcGoats33/status/1580709715608506369
Lisa Simpson,@LisaOverachieve,2022-10-13T23:58:53.000Z,"Lisa Simpson
@LisaOverachieve
·
14 Oct 2022","Replying to 
@genuine_rp
 and 
@Yahoo
I totally agree!  
1",😉,,,1,[],https://twitter.com/LisaOverachieve/status/1580709692250021889
Lawrence Keith,@Lawrenc09948939,2022-10-13T23:58:42.000Z,"Lawrence Keith
@Lawrenc09948939
·
14 Oct 2022","Browns quick hits: Defense looking to catch 'contagious' turnover bug https://news.yahoo.com/browns-quick-hits-defense-looking-201208654.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr… via 
@Yahoo
 Nothing changes in Cleveland and certainly not in a hurry.
news.yahoo.com
Browns quick hits: Defense looking to catch 'contagious' turnover bug
The Browns defense has only created four turnovers so far through five games, something they believe can change in a hurry.",,,,,[],https://twitter.com/Lawrenc09948939/status/1580709644485656577
StreetLevelPundit,@StreetLvlPundit,2022-10-13T23:58:32.000Z,"StreetLevelPundit
@StreetLvlPundit
·
14 Oct 2022","It's Wall Street vs. Trump as GOP Decides Next Tax, Trade Leader - Yahoo Finance http://dlvr.it/Sb2psP",,,,,[],https://twitter.com/StreetLvlPundit/status/1580709605126307841
classifieds.potads.uk,@seedsmanrep,2022-10-13T23:58:28.000Z,"classifieds.potads.uk
@seedsmanrep
·
14 Oct 2022","Visit http://classifieds.potads.uk for #cannabis seeds  || Global Cannabis Market Report (2022 to 2027) - Emergence of Cannabis Legalization in Asia-Pacific Presents Opportunities - Yahoo Finance UK https://uk.finance.yahoo.com/news/global-cannabis-market-report-2022-113800437.html… -- #kush #og #haze #thc #rso #weed #smokers #growers #ganj…
uk.finance.yahoo.com
Global Cannabis Market Report (2022 to 2027) - Emergence of Cannabis Legalization in Asia-Pacific...
Global Cannabis Market Global Cannabis Market Dublin, Oct. 07, 2022 (GLOBE NEWSWIRE) -- The ""Global Cannabis Market by Product Type (Flowers, Concentrates, Edibles, Topicals & Tinctures), Compound...
1",,,,1,[],https://twitter.com/seedsmanrep/status/1580709588722397184
Aquarius,@GipsyHimSelf,2022-10-13T23:58:19.000Z,"Aquarius
@GipsyHimSelf
·
14 Oct 2022","Are you tired of Yahoo??

Dm to join vigilante @ least if u no ft catch client Una sha go catch thief@v
1",♒,,,1,[],https://twitter.com/GipsyHimSelf/status/1580709549157519360
ACostello,@Realisticin2020,2022-10-13T23:58:09.000Z,"ACostello
@Realisticin2020
·
14 Oct 2022","There is no Republican party, it died

There is only the cult of trump

https://news.yahoo.com/pence-support-for-election-deniers-raises-question-of-where-gop-stands-on-2020-lies-175336452.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr… via 
@Yahoo
news.yahoo.com
Pence support for election deniers raises question of where GOP stands on 2020 lies
As he lines up a possible bid for the White House in 2024, former Vice President Mike Pence is campaigning with the strangest of political bedfellows, throwing his name and his money behind candida...",,,,,['https://pbs.twimg.com/card_img/1618774514124341248/WmhqFaAI?format=jpg&name=small'],https://twitter.com/Realisticin2020/status/1580709508275638272
HR Tech News,@GenerousFeed,2022-10-13T23:57:57.000Z,"HR Tech News
@GenerousFeed
·
14 Oct 2022","Top story: TechCrunch is part of the Yahoo family of brands https://techcrunch.com/2022/10/13/fintech-startup-raises-24m-to-be-employees-northstar-when-it-comes-to-financial-advice/…, see more https://tweetedtimes.com/v/14150?s=tnp
techcrunch.com
Former VC brings smart financial advice to people who really need it, instead of just the rich
Companies such as Zoom, Snap and NerdWallet have tapped fintech startup Northstar to provide one-on-one financial advice to their employees.",,,,,['https://pbs.twimg.com/card_img/1618648213082472449/A-EsS4go?format=jpg&name=small'],https://twitter.com/GenerousFeed/status/1580709456932786176
