Username,Tweet URL,Timestamp,Comments,Likes,Retweets,Quotes,emoji_sent,neg,neu,pos,compound,word_token
raulradio,https://twitter.com/raulradio/status/1477423738362920961,2022-01-01,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"mannylorian,ye,sir,problem,consid,game,pas,success,version,eventu"
tygercope,https://twitter.com/tygercope/status/1477422591212195840,2022-01-01,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"way,finish,orang,strong,okstat,copefun,nevergiveup,loyalandtru,fiesta,bowl"
buckoffpod,https://twitter.com/buckoffpod/status/1477410853922254850,2022-01-01,0,7,0,0,0.0,0.0,0.0,0.0,0.0,"welp,look,like,turn"
philstasyszen,https://twitter.com/philstasyszen/status/1477403231626092545,2022-01-01,0,2,0,0,0.0,0.0,0.0,0.0,0.0,"disappoint,coachgundi,bucket,dump,cowboyfb,fiestabowl,okstat,gopok"
BenNicholas47,https://twitter.com/BenNicholas47/status/1477402519710093314,2022-01-01,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"custom,cowboyfb,amp,theme,celebr,win"
Morales18Edwin,https://twitter.com/Morales18Edwin/status/1477401308206223360,2022-01-01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"notr,dame,grab,one,final,touchdown,abl,recov,onsid,kick,oklahoma,state,winner,fiesta,bowl,score,notr,dame,oklahoma,state"
menace11,https://twitter.com/menace11/status/1477400922158288898,2022-01-01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"fiestabowl,osu,let,goooooooo"
OKCCBSSPORTS105,https://twitter.com/OKCCBSSPORTS105/status/1477400724401176585,2022-01-01,0,9,0,0,0.0,0.0,0.0,0.0,0.0,"pistol,fire,oklahoma,state,cowboy,beat,notr,dame,play,station,fiesta,bowl"
JoeRecord_,https://twitter.com/JoeRecord_/status/1477399901205983233,2022-01-01,1,3,0,0,0.0,0.0,0.0,0.0,0.0,"pour,bucket,osu,head,coach"
BTS44107,https://twitter.com/BTS44107/status/1477398596811210754,2022-01-01,1,9,2,0,0.0,0.0,0.0,0.0,0.0,"win,coach,potato,bowl,dous,bucket,fri,coach,mayo,bowl,took,bucket,mayo,wait,see,whoever,win,fiestabowl,whack,coach,refurbish,okstat"
NYdelight,https://twitter.com/NYdelight/status/1477398035189616642,2022-01-01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"fiesta,bowl"
michaelgrammer1,https://twitter.com/michaelgrammer1/status/1477396264446836736,2022-01-01,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"watch,bowl,game,citru,bowl,kentucki,beat,iowa,outback,bowl,arkansa,beat,penn,state,oklahoma,state,touchdown,late,fiesta,bowl,wait,rose,bowl,ohio,state,play,utah"
NicoleWesterby,https://twitter.com/NicoleWesterby/status/1477384682291482626,2022-01-01,1,5,0,0,0.0,0.0,0.0,0.0,0.0,"think,blakewesterbi,stop,watch,game,bc,enough,commerci"
